,DATE,REGION,AGEGROUP,SEX,DEATHS
540,2020-04-10,Wallonia,45-64,F,1
541,2020-04-10,Wallonia,65-74,M,6
542,2020-04-10,Wallonia,65-74,F,6
543,2020-04-10,Wallonia,75-84,M,15
544,2020-04-10,Wallonia,75-84,F,18
545,2020-04-10,Wallonia,85+,M,21
546,2020-04-10,Wallonia,85+,F,36
547,2020-04-10,Flanders,45-64,M,3
548,2020-04-10,Flanders,45-64,F,3
549,2020-04-10,Flanders,65-74,M,6
550,2020-04-10,Flanders,65-74,F,4
551,2020-04-10,Flanders,75-84,M,21
552,2020-04-10,Flanders,75-84,F,21
553,2020-04-10,Flanders,85+,M,34
554,2020-04-10,Flanders,85+,F,48
555,2020-04-10,Brussels,45-64,M,1
556,2020-04-10,Brussels,45-64,F,1
557,2020-04-10,Brussels,65-74,M,4
558,2020-04-10,Brussels,75-84,M,16
559,2020-04-10,Brussels,75-84,F,10
560,2020-04-10,Brussels,85+,M,13
561,2020-04-10,Brussels,85+,F,11
562,2020-04-11,Wallonia,45-64,M,6
563,2020-04-11,Wallonia,45-64,F,5
564,2020-04-11,Wallonia,65-74,M,8
565,2020-04-11,Wallonia,65-74,F,10
566,2020-04-11,Wallonia,75-84,M,18
567,2020-04-11,Wallonia,75-84,F,15
568,2020-04-11,Wallonia,85+,M,21
569,2020-04-11,Wallonia,85+,F,49
570,2020-04-11,Flanders,45-64,M,2
571,2020-04-11,Flanders,45-64,F,2
572,2020-04-11,Flanders,65-74,M,5
573,2020-04-11,Flanders,65-74,F,2
574,2020-04-11,Flanders,75-84,M,21
575,2020-04-11,Flanders,75-84,F,16
576,2020-04-11,Flanders,85+,M,28
577,2020-04-11,Flanders,85+,F,41
578,2020-04-11,Flanders,NA,NA,2
579,2020-04-11,Brussels,45-64,M,1
580,2020-04-11,Brussels,45-64,F,1
581,2020-04-11,Brussels,65-74,M,2
582,2020-04-11,Brussels,65-74,F,1
583,2020-04-11,Brussels,75-84,M,6
584,2020-04-11,Brussels,75-84,F,5
585,2020-04-11,Brussels,85+,M,10
586,2020-04-11,Brussels,85+,F,11
587,2020-04-12,Wallonia,45-64,M,5
